Region,Resource,Zone,Cluster,R_ID,SubsidyRevenue
NENGREST,NENGREST_biomass_1,1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,0.0
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,0.0
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,0.0
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,0.0
NENGREST,NENGREST_nuclear_1,1,1,8,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,0.0
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,0.0
NENGREST,Liion_Moderate,1,1,12,0.0
NENGREST,TEGS,1,1,13,0.0
