resource,fusion,no_fusion,,
Utility_Solar,0.167952067,0.146285484,3.359041337,2.92570968
Onshore_Wind,0.360092462,0.290548975,7.201849247,5.810979498
Offshore_Fixed,0.511004755,0.462820532,10.2200951,9.256410639
Offshore_Floating,0.511010679,0.383144049,10.22021358,7.662880989
NGCC,0.007912519,0.002168706,0.158250386,0.043374115
NGCCS,0.164294443,0.124334277,3.28588887,2.48668555
4hr_Battery,0.088454012,0.1751754,1.769080243,3.503507994
Nuclear,0,0,0,0
Fusion,0.761149109,0,15.22298218,0
ROR,0.452951236,0.452951236,9.059024719,9.059024719
QC_Hydro,0.57555755,0.555830723,11.51115101,11.11661447
PHS,0.08841886,0.203841494,1.768377209,4.076829883
Commercial_Solar,0,0.080096452,0,1.601929044
Residential_Solar,0,0.056106619,0,1.122132379
