resource,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Utility_Solar,35254834.55980723,33989049.547868304,32026987.46421881,32526697.610743366,32204772.07475232,32011050.300623845,32889014.299240656,30910183.436386824,31619507.79571949,32420791.042522416,31977003.496118087,33085106.01905051,33734036.39408742,32344225.960056625,33417170.62528147,33988828.457505904,32637211.119604763,30370620.032424845,31904151.22799069,31675573.678708076
Onshore_Wind,28552847.249471296,31175043.03499646,30016714.48615246,29808716.289592467,29407444.18047805,30496139.94865484,30322963.090666413,29166076.5996952,30200117.24493007,31995452.267931346,28920254.78182149,27375462.188563023,29943047.69975407,30012896.13073844,29680229.80589393,30238809.86302778,30081980.629763726,30322193.93229443,30211888.35512032,29799318.35402885
Offshore_Fixed,6393094.922316705,26119774.998021107,13276942.961171856,6659287.351451064,6502172.262339843,20869583.689972635,19029785.25645585,6479664.800123991,16814848.49998397,10514859.948968016,6412552.632299544,6284169.337891623,11152018.673027176,6647964.728693698,8630966.19900483,6696410.147091812,9347549.515578864,6920679.885490576,6497479.312598577,6632923.234934451
Offshore_Floating,30958562.231617726,33867143.97165629,33128248.15374698,32247598.211883094,31486769.209549133,33375368.339376688,33245422.01151289,31377776.92832166,32841436.35218888,34056821.690189205,31052786.538291197,30431090.77356294,33550927.450166065,32192769.21975096,31848087.296900287,32427366.293457866,33298106.168868866,33513392.44212409,31464044.15929205,32119930.88341043
NGCC,320435.0806220475,312478.1888346036,417065.464483236,346344.64731144486,304709.3478068402,179276.8838172434,165813.5100719501,272140.998821441,328226.38842350565,257503.69516096203,236230.3381941615,319752.6801663906,240641.8951151131,206361.85062066195,317800.57648883195,322359.3452460616,318061.5727340152,225966.9763778496,372160.0459272808,233105.5094755603
NGCCS,10228985.139836311,10299076.319560807,9377781.20443709,10000751.283674143,10367510.985687183,11472428.535511522,11591025.567391708,10654401.151262056,10160352.566940572,10783339.172427502,10970733.286426194,10234996.312814573,10931872.480266256,11233840.7393022,10252192.129149336,10212034.553947108,10249893.04865424,11061141.847576836,9773346.941307852,10998259.478456656
4hr_Battery,11760697.41594377,12131609.6455867,12054954.180674875,12061513.335554196,12042435.663752764,12148648.728426132,11675469.133216904,12133549.8692235,11047401.651688015,11493401.64438366,12006490.336577574,11858059.09688154,11817437.045515,11835891.568929346,11624367.905458266,12152870.484537544,11378676.11432685,12061892.416912911,12223066.997458372,10421095.7012386
Nuclear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusion,59646736.265175365,35520044.30132542,56947326.964791134,61890829.7945274,63404786.69101418,41271829.67736718,46451296.80585248,62801220.125276,50732919.34514404,51615019.42151591,61993827.49633365,61689098.89436474,52683023.02983066,60461019.53611294,59620815.53724754,57591238.54224081,55539812.58401416,60458240.6109876,62592407.19214731,58505940.42103251
ROR,7771039.76176655,7771039.7616805155,7771039.761761853,7771039.76160209,7771039.761725767,7771039.761778654,7771039.761785907,7771039.761661916,7771039.761712975,7771039.7617069455,7771039.761681267,7771039.75776143,7771039.761731717,7771039.761775119,7771039.761515399,7771039.7617069455,7771039.761643417,7771039.761781075,7771039.761764558,7771039.76173541
QC_Hydro,207261773.41856572,207261773.3464504,207261773.37583724,207261773.1127501,207261773.42497775,207261773.42754164,207261773.3366774,207261773.3682544,207261773.32758307,207261773.35726547,207261773.17676443,207261773.19111425,207261773.3759068,207261773.4371293,207261773.28581235,207261773.2899941,207261773.31800544,207261773.41820827,207261773.20567125,207261773.3903234
PHS,1573783.7865530704,1672930.787881116,1512822.495618143,1487279.3781660588,1418443.8801446324,1545548.225749028,1527736.867996218,1412405.6678257228,1693600.9916310469,1546786.3391600046,1411340.3087280963,1727722.4673721583,1571780.586315136,1255187.9119170934,1490602.8944580252,1479717.0960787514,1298424.298886284,1458320.4946854534,1552850.7923347256,1545462.382374124
Commercial_Solar,0.0090427029903297,0.018007246867532,0.0118353348001517,0.0289495919982,0.006059390714332,0.0034739321862203,0.0151114554554389,0.0127825839160587,0.0200662687984093,0.0229314766991418,0.0274814632589962,0.0771659708760816,0.0105573678140363,0.0025789383305616,0.0325192926618592,0.0277309072002314,0.0273590110273157,0.0054474549751145,0.0429319382523417,0.0075506828227943
Residential_Solar,0.0023607373988531,0.0052934897285288,0.0040918361233749,0.0120118702467524,0.00178872657176,0.0011572094074225,0.005419257629546,0.0045156271289501,0.006208512275765,0.0073985498842618,0.0109474119169011,0.0249371694866767,0.0036474763629881,0.0008293165280171,0.0109320598278547,0.0076056973216133,0.0090396357209781,0.002028951061419,0.0124637809469169,0.0030596884044388
