Branch number,from bus,to bus,is existing?,maxFlow,susceptance,distance
0,0,1,0,2852.9,542.477,10.8
1,0,1,0,2852.9,542.477,10.8
2,0,1,1,2531.17,344.7087211,10.82261498
3,0,1,0,2852.9,542.477,10.8
4,0,1,1,2501.83,123.6705417,34.76512402
5,0,1,1,2438.37,101.3581999,38.09057495
6,1,2,1,2350.71,366.9724771,11.09866663
7,1,2,1,2601.13,240.2691014,18.26075443
8,1,2,0,2846.4,534.107,11.1
9,1,2,0,2846.4,534.107,11.1
10,1,2,0,2846.4,534.107,11.1
11,1,2,1,2320.35,289.4356006,13.72116675
12,1,2,1,2316.57,382.7018752,8.743400022
13,1,2,0,2784.7,454.588,13.7
14,1,2,0,2784.7,454.588,13.7
15,1,3,1,2980.37,191.6075877,20.14881755
16,1,3,1,2751.34,180.0504141,23.48600823
17,1,3,0,2832.3,515.946,11.7
18,1,3,0,2832.3,515.946,11.7
19,1,3,0,2832.3,515.946,11.7
20,1,3,1,3158.92,319.284802,11.69759982
21,1,2,0,2553.2,155.913,23.6
22,1,2,1,2544.09,92.09799226,41.63082899
23,1,2,1,2444.85,168.4919966,23.57135003
24,1,2,0,3041.2,785.373,2.8
25,1,2,0,3041.2,785.373,2.8
26,1,2,0,2417.6,-18.974,29.3
27,1,2,0,2417.6,-18.974,29.3
28,1,2,1,2510.24,1199.040767,2.811990594
29,1,2,1,2334.51,160.5909748,24.78386182
30,1,2,0,3041.2,785.373,2.8
31,1,2,0,2974.8,699.723,5.6
32,1,2,0,2974.8,699.723,5.6
33,1,2,0,2974.8,699.723,5.6
34,2,3,0,2919.4,628.344,8
35,2,3,1,2518.72,143.8641922,29.04662183
36,2,3,1,2847.53,426.2574595,7.990770452
37,2,3,0,2919.4,628.344,8
38,2,3,0,2754.7,415.89,15
39,2,3,0,2754.7,415.89,15
40,2,3,1,2618.31,245.6398919,14.99741945
41,2,3,0,2754.7,415.89,15
42,3,4,1,2400.29,280.8988764,15.74186622
43,3,5,0,2735.9,391.668,15.8
44,3,5,1,2417.7,250.438267,15.79622965
45,3,5,0,2735.9,391.668,15.8
46,3,4,0,3003.5,736.825,4.4
47,3,4,0,2762.7,426.175,14.7
48,3,4,0,2762.7,426.175,14.7
49,3,4,0,3003.5,736.825,4.4
50,3,4,1,2704.61,281.1357886,14.65822825
51,3,4,0,3003.5,736.825,4.4
52,3,4,1,2599.69,275.9381898,13.15294121
53,3,4,0,2930,641.99,7.5
54,3,4,0,2930,641.99,7.5
55,3,4,1,2018.71,517.5983437,7.540713223
56,3,5,0,2669.9,306.484,18.6
57,3,5,0,2669.9,306.484,18.6
58,3,5,0,2669.9,306.484,18.6
59,4,5,0,2721,372.467,16.4
60,4,5,0,2721,372.467,16.4
61,4,5,0,2721,372.467,16.4
62,4,5,1,2348.19,243.9619419,16.4294914
