Resource,Zone,THERM,FUSION,MUST_RUN,STOR,FLEX,HYDRO,VRE,LDS,Num_VRE_Bins,New_Build,Existing_Cap_MW,Existing_Cap_MWh,Existing_Charge_Cap_MW,Max_Cap_MW,Max_Cap_MWh,Max_Charge_Cap_MW,Min_Cap_MW,Min_Cap_MWh,Min_Charge_Cap_MW,Inv_Cost_per_MWyr,Inv_Cost_per_MWhyr,Inv_Cost_Charge_per_MWyr,Fixed_OM_Cost_per_MWyr,Fixed_OM_Cost_per_MWhyr,Fixed_OM_Cost_Charge_per_MWyr,Var_OM_Cost_per_MWh,Var_OM_Cost_per_MWh_In,Heat_Rate_MMBTU_per_MWh,Fuel,Cap_Size,Start_Cost_per_MW,Start_Fuel_MMBTU_per_MW,Up_Time,Down_Time,Ramp_Up_Percentage,Ramp_Dn_Percentage,Hydro_Energy_to_Power_Ratio,Min_Power,Self_Disch,Eff_Up,Eff_Down,Min_Duration,Max_Duration,Max_Flexible_Demand_Advance,Max_Flexible_Demand_Delay,Flexible_Demand_Energy_Eff,Reg_Max,Rsv_Max,Reg_Cost,Rsv_Cost,MinCapTag,MinCapTag_1,MinCapTag_2,MinCapTag_3,MGA,Resource_Type,CapRes_1,ESR_1,ESR_2,region,cluster,region,cluster
res_hydro_1,1,0,0,0,0,0,1,0,0,0,-1,41108,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,0.14,0.14,4788.1,0.27,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,res_hydro,0.95,0,0,QC,1,QC,1
natural_gas_ccs_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,157749.56,0,0,67000,0,0,6,0,7.16,NGCCS,500,72.838,0.2,4,4,1,1,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas_ccs,0.93,0,0,NE,1,NE,1
solar_pv_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,47859,0,0,13000,0,0,0,0,0,None,100,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,7,1,0,0,1,solar_pv,0.8,1,1,NE,1,NE,1
onshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,0,0,0,-1,-1,-1,0,0,0,70327,0,0,33000,0,0,0,0,0,None,200,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,6,0,1,0,1,onshore_wind,0.8,1,1,NE,1,NE,1
battery_2,2,0,0,0,1,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,17870,10596,0,5000,12000,0,0,0,0,None,60,0,0,0,0,1,1,1,0,0,0.92,0.92,4,4,0,0,1,0.083333333,0.166666667,0,0,12,0,0,1,0,battery,0.95,0,0,NE,0,NE,0
offshore_wind_2,2,0,0,0,0,0,0,1,0,1,1,9348,0,0,-1,-1,-1,0,0,0,171970,0,0,70000,0,0,0,0,0,None,1000,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.083333333,0.166666667,0,0,8,1,1,0,1,offshore_wind,0.8,1,1,NE,1,NE,1
natural_gas_2,2,1,0,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,72825,0,0,28000,0,0,2,0,6.36,NG,500,64.964,0.2,4,4,1,1,1,0,0,1,1,0,0,0,0,1,0.053333333,0.106666667,0,0,2,0,0,0,1,natural_gas,0.93,0,0,NE,1,NE,1
nuclear_2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,347120.6267,0,0,146000,0,0,3,0,10.44,nuclear,2156,463.82,0,36,36,0.25,0.25,1,0.5,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,5,0,0,0,1,nuclear,0.93,0,1,NE,1,NE,1
ror_hydro_2,2,0,0,1,0,0,0,0,0,0,0,1958.5,0,0,-1,-1,-1,0,0,0,0,0,0,29312,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.05,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,ror_hydro,0.95,0,0,NE,1,NE,1
fusion_2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,-1,-1,-1,0,0,0,360763.53,0,0,54114.5295,0,0,2,0,8.53,None,285.86,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0.020833333,0.041666667,0,0,2,0,0,0,1,fusion,0.93,0,0,NE,1,NE,1
pumped_hydro_5,2,1,0,0,1,0,0,0,0,0,0,1801,21612,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,NE,1,NE,1
pumped_hydro_7,2,1,0,0,1,0,0,0,0,0,0,29.2,350.4,0,-1,-1,-1,0,0,0,0,0,0,7280,0,0,0,0,0,None,1,0,0,0,0,1,1,1,0.52,0,0.9,0.9,1,12,0,0,1,0.020833333,0.041666667,0,0,1,0,0,0,1,pumped_hydro,0.95,0,0,NE,1,NE,1
